paris	francia	madrid	españa
lima	peru	bogota	colombia
roma	italia	berlin	alemania
madrid	españa	lisboa	portugal
paris	francia	lisboa	portugal
rey	hombre	reina	mujer
actor	hombre	actriz	mujer
príncipe	hombre	princesa	mujer
toro	macho	vaca	hembra
gallo	macho	gallina	hembra
gato	animal	perro	animal
mango	fruta	lechuga	verdura
cuchillo	cocina	martillo	carpintería
doctor	hospital	profesor	escuela
correr	verbo	nadar	verbo
caliente	antónimo	frío	sinónimo
alto	comparativo	más_alto	superlativo
rápido	adjetivo	lentamente	adverbio
invierno	estación	verano	estación
lunes	día	jueves	día
libro	leer	música	escuchar
teclado	computador	volante	automóvil
oro	metal	madera	madera
dulce	sabor	salado	sabor
perro	animal	loro	ave
